country,year,delivered,only_donated,only_announced,delivered_per_gdp,only_donated_per_gdp,only_announced_per_gdp,delivered_per_used,only_donated_per_used,only_announced_per_used,delivered_per_capita,only_donated_per_capita,only_announced_per_capita
Australia,2022,0,0,60000000,0.0,0.0,41.47999954223633,0.0,0.0,1.065000057220459,0.0,0.0,2.3269999027252197
Austria,2022,1200000,2000000,0,2.859999895095825,4.769999980926514,0.0,0.06599999964237213,0.10999999940395355,0.0,0.13300000131130219,0.22100000083446503,0.0
Belgium,2022,8200000,4400000,2400000,16.0,8.579999923706055,4.679999828338623,0.32499998807907104,0.17399999499320984,0.0949999988079071,0.7049999833106995,0.3779999911785126,0.20600000023841858
Brazil,2022,0,5100000,16900000,0.0,2.25,7.449999809265137,0.0,0.012000000104308128,0.04100000113248825,0.0,0.024000000208616257,0.07900000363588333
Canada,2022,14200000,15200000,21600000,7.690000057220459,8.229999542236328,11.6899995803833,0.17299999296665192,0.1850000023841858,0.2630000114440918,0.37299999594688416,0.39899998903274536,0.5669999718666077
Denmark,2022,7300000,0,700000,19.600000381469727,0.0,1.8799999952316284,0.5529999732971191,0.0,0.05299999937415123,1.25600004196167,0.0,0.11999999731779099
European Union (27),2022,286300000,109000000,131300000,18.389999389648438,7.0,8.430000305175781,0.3330000042915344,0.12700000405311584,0.15299999713897705,0.6399999856948853,0.24400000274181366,0.2939999997615814
Finland,2022,2800000,300000,900000,10.579999923706055,1.1299999952316284,3.4000000953674316,0.23999999463558197,0.026000000536441803,0.07699999958276749,0.5049999952316284,0.05400000140070915,0.16200000047683716
France,2022,61300000,16100000,42600000,22.450000762939453,5.900000095367432,15.600000381469727,0.4320000112056732,0.11400000005960464,0.3009999990463257,0.9089999794960022,0.23899999260902405,0.6320000290870667
Germany,2022,92100000,33400000,49500000,24.549999237060547,8.899999618530273,13.199999809265137,0.5350000262260437,0.1940000057220459,0.2879999876022339,1.0980000495910645,0.39800000190734863,0.5899999737739563
Greece,2022,4300000,0,0,18.600000381469727,0.0,0.0,0.20900000631809235,0.0,0.0,0.41499999165534973,0.0,0.0
Hong Kong,2022,900000,6600000,500000,3.380000114440918,24.790000915527344,1.8799999952316284,0.05999999865889549,0.44200000166893005,0.032999999821186066,0.11900000274181366,0.8740000128746033,0.06599999964237213
Ireland,2022,1600000,2100000,300000,3.940000057220459,5.170000076293945,0.7400000095367432,0.14900000393390656,0.19499999284744263,0.02800000086426735,0.32100000977516174,0.42100000381469727,0.05999999865889549
Italy,2022,42000000,21100000,8900000,21.43000030517578,10.770000457763672,4.539999961853027,0.3089999854564667,0.1550000011920929,0.06499999761581421,0.6959999799728394,0.3499999940395355,0.1469999998807907
Japan,2022,18100000,26200000,15700000,2.930000066757202,4.230000019073486,2.5399999618530273,0.07100000232458115,0.10199999809265137,0.061000000685453415,0.14399999380111694,0.20800000429153442,0.125
Mexico,2022,0,0,20000000,0.0,0.0,16.639999389648438,0.0,0.0,0.10400000214576721,0.0,0.0,0.15399999916553497
Netherlands,2022,14200000,3300000,9500000,15.34000015258789,3.559999942779541,10.260000228881836,0.4169999957084656,0.09700000286102295,0.27900001406669617,0.8270000219345093,0.19200000166893005,0.5529999732971191
New Zealand,2022,1200000,6500000,1300000,6.21999979019165,33.709999084472656,6.739999771118164,0.10899999737739563,0.5929999947547913,0.11900000274181366,0.23399999737739563,1.2680000066757202,0.2540000081062317
Norway,2022,3500000,2500000,1000000,7.159999847412109,5.110000133514404,2.049999952316284,0.3100000023841858,0.22200000286102295,0.08900000154972076,0.6399999856948853,0.4569999873638153,0.18299999833106995
Portugal,2022,2900000,900000,1200000,12.359999656677246,3.8399999141693115,5.110000133514404,0.12700000405311584,0.039000000804662704,0.052000001072883606,0.2849999964237213,0.08900000154972076,0.11800000071525574
Slovakia,2022,1100000,1000000,0,10.079999923706055,9.15999984741211,0.0,0.15600000321865082,0.1420000046491623,0.0,0.20200000703334808,0.18400000035762787,0.0
Slovenia,2022,1100000,300000,600000,20.329999923706055,5.550000190734863,11.09000015258789,0.36899998784065247,0.10100000351667404,0.20100000500679016,0.5289999842643738,0.14399999380111694,0.289000004529953
South Korea,2022,0,0,5000000,0.0,0.0,3.4000000953674316,0.0,0.0,0.04100000113248825,0.0,0.0,0.09700000286102295
Spain,2022,39600000,20100000,14300000,28.25,14.34000015258789,10.199999809265137,0.421999990940094,0.21400000154972076,0.15199999511241913,0.847000002861023,0.4300000071525574,0.3059999942779541
Sweden,2022,6600000,4000000,400000,11.369999885559082,6.889999866485596,0.6899999976158142,0.31200000643730164,0.1889999955892563,0.01899999938905239,0.6499999761581421,0.39399999380111694,0.039000000804662704
Switzerland,2022,1800000,0,6200000,2.5999999046325684,0.0,8.960000038146973,0.11500000208616257,0.0,0.3959999978542328,0.2070000022649765,0.0,0.7110000252723694
United Arab Emirates,2022,0,0,1000000,0.0,0.0,2.4700000286102295,0.0,0.0,0.04100000113248825,0.0,0.0,0.10000000149011612
United Kingdom,2022,29700000,29300000,41000000,11.300000190734863,11.149999618530273,15.600000381469727,0.210999995470047,0.20800000429153442,0.29100000858306885,0.4350000023841858,0.4300000071525574,0.6010000109672546
United States,2022,237600000,276100000,386300000,13.420000076293945,15.59000015258789,21.809999465942383,0.42399999499320984,0.492000013589859,0.6890000104904175,0.7139999866485596,0.8289999961853027,1.159999966621399
